dbn,lat,long,2007type,2007enrollment,2007pi,2007overall,2007progress,2007performance,2007environment,2008type,2008enrollment,2008pi,2008overall,2008progress,2008performance,2008environment,2009type,2009enrollment,2009pi,2009overall,2009progress,2009performance,2009environment,2010type,2010enrollment,2010pi,2010overall,2010progress,2010performance,2010environment,2011type,2011enrollment,2011pi,2011overall,2011progress,2011performance,2011environment
22K337,40.5943,-73.9858,HS,158,19.87767584,,93.88379205,,99.3883792,HS,227,16.90140845,,,,,,,,,,,,,,,,,,,,,,,,,
84M726,40.810793,-73.955722,,,,,,,,Middle,271,53.25443787,85.8490566,56.60377358,97.48427673,92.13836478,Middle,257,54.22740525,68.08510638,41.64133739,100,82.37082067,High School Combination,301,72.30307877,57.30994152,37.42690058,85.67251462,50.58479532,Middle,283,50.25641026,45.68245125,20.61281337,82.72980501,83.00835655
84X185,40.823228,-73.897394,,,,,,,,Elementary,327,54.32937182,97.94871795,98.63247863,59.48717949,83.41880342,Elementary,372,54.51505017,15.54054054,8.445945946,42.90540541,83.78378378,K-8,422,46.62162162,58.78378378,53.37837838,66.89189189,72.97297297,K-8,491,49.03225806,7.189542484,2.614379085,57.51633987,60.78431373
11X019,40.899351,-73.866949,K-8,470,92.43697479,55.93220339,26.8907563,74.78991597,75.6302521,K-8,495,90.64748201,30.21582734,26.61870504,46.76258993,35.97122302,K-8,505,90.51094891,37.95620438,38.68613139,33.57664234,75.91240876,K-8,521,93.91891892,18.91891892,18.91891892,29.05405405,40.54054054,K-8,525,91.61290323,65.35947712,73.20261438,49.01960784,47.05882353
10X503,40.869061,-73.897066,,,,,,,,,,,,,,,,,,,,,,YABC,273,,52.17391304,65.2173913,26.08695652,43.47826087,YABC,280,,27.27272727,31.81818182,22.72727273,18.18181818
10X504,40.877379,-73.912686,,,,,,,,,,,,,,,,,,,,,,YABC,218,,47.82608696,26.08695652,52.17391304,43.47826087,YABC,225,,18.18181818,22.72727273,13.63636364,4.545454545
11X545,40.875172,-73.861649,HS,385,43.42507645,98.30508475,98.16513761,95.33898305,57.79816514,HS,377,37.74647887,97.53521127,91.54929577,100,44.01408451,HS,405,35.78947368,84.51612903,87.41935484,97.41935484,32.90322581,HS,403,13.90243902,97.59036145,91.26506024,100,42.1686747,,,,,,,
11X544,40.875172,-73.861649,HS,403,42.20183486,98.72881356,98.47094801,91.10169492,83.79204893,HS,432,24.50704225,99.29577465,97.18309859,100,96.47887324,HS,463,23.68421053,76.12903226,42.90322581,100,92.58064516,HS,471,12.19512195,91.86746988,80.72289157,94.57831325,99.39759036,HS,459,21.88235294,75,33.13253012,84.63855422,78.61445783
11X541,40.860443,-73.860729,HS,402,24.15902141,42.79661017,25.99388379,54.23728814,16.81957187,HS,416,16.33802817,16.54929577,17.6056338,15.49295775,31.33802817,HS,457,15.78947368,25.16129032,23.87096774,36.77419355,40.64516129,HS,467,12.43902439,18.97590361,27.71084337,12.04819277,61.44578313,HS,385,16.23529412,,,,
11X016,40.902311,-73.854231,Elementary,670,47.76632302,5,6.357388316,29.3814433,42.78350515,Elementary,589,54.66893039,65.81196581,75.21367521,45.12820513,53.16239316,Elementary,614,54.84949833,42.56756757,50.16891892,44.93243243,15.03378378,Elementary,597,45.8961474,6.890756303,5.714285714,35.6302521,23.86554622,Elementary,575,44.7761194,40.26845638,67.61744966,19.79865772,4.865771812
11X542,40.860443,-73.860729,HS,450,83.48623853,49.15254237,45.25993884,85.59322034,32.11009174,HS,460,80.28169014,59.15492958,55.28169014,74.29577465,50.70422535,HS,478,79.73684211,70.64516129,70,70.96774194,53.87096774,HS,506,69.75609756,63.25301205,44.57831325,77.71084337,59.3373494,HS,501,73.88235294,59.63855422,50.30120482,85.84337349,69.87951807
09X403,40.827455,-73.90392,,,,,,,,,,,,,,,HS,347,5.526315789,86.77419355,88.38709677,34.83870968,93.5483871,HS,356,10.97560976,70.18072289,47.59036145,59.03614458,93.6746988,HS,400,14.82352941,84.03614458,97.89156627,28.01204819,67.1686747
06M028,40.83163,-73.942023,Elementary,1261,17.01030928,35.17241379,50,16.32302406,49.82817869,Elementary,996,5.602716469,90.08547009,86.83760684,64.95726496,59.31623932,Elementary,879,5.852842809,95.27027027,82.93918919,74.83108108,76.35135135,Elementary,826,11.89279732,75.79831933,77.81512605,53.94957983,78.1512605,Elementary,866,12.93532338,68.2885906,68.12080537,39.26174497,78.3557047
